Type,Name,Properties
Node,Import:json,"{'type': 'Import', 'name': 'json', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported module json'}"
Node,Import:os,"{'type': 'Import', 'name': 'os', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported module os'}"
Node,Import:re,"{'type': 'Import', 'name': 're', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported module re'}"
Node,Import:time,"{'type': 'Import', 'name': 'time', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported module time'}"
Node,Import:fastapi.FastAPI,"{'type': 'Import', 'name': 'fastapi.FastAPI', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported FastAPI from fastapi'}"
Node,Import:fastapi.responses.JSONResponse,"{'type': 'Import', 'name': 'fastapi.responses.JSONResponse', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported JSONResponse from fastapi.responses'}"
Node,Import:fastapi.middleware.cors.CORSMiddleware,"{'type': 'Import', 'name': 'fastapi.middleware.cors.CORSMiddleware', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported CORSMiddleware from fastapi.middleware.cors'}"
Node,Import:fastapi.staticfiles.StaticFiles,"{'type': 'Import', 'name': 'fastapi.staticfiles.StaticFiles', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported StaticFiles from fastapi.staticfiles'}"
Node,Import:fastapi.templating.Jinja2Templates,"{'type': 'Import', 'name': 'fastapi.templating.Jinja2Templates', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported Jinja2Templates from fastapi.templating'}"
Node,Import:pydantic.BaseModel,"{'type': 'Import', 'name': 'pydantic.BaseModel', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported BaseModel from pydantic'}"
Node,Import:backend.utils.write_md_to_pdf,"{'type': 'Import', 'name': 'backend.utils.write_md_to_pdf', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported write_md_to_pdf from backend.utils'}"
Node,Import:backend.websocket_manager.WebSocketManager,"{'type': 'Import', 'name': 'backend.websocket_manager.WebSocketManager', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported WebSocketManager from backend.websocket_manager'}"
Node,Import:shutil,"{'type': 'Import', 'name': 'shutil', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported module shutil'}"
Node,Import:multi_agents.main.run_research_task,"{'type': 'Import', 'name': 'multi_agents.main.run_research_task', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported run_research_task from multi_agents.main'}"
Node,Import:gpt_researcher.document.document.DocumentLoader,"{'type': 'Import', 'name': 'gpt_researcher.document.document.DocumentLoader', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported DocumentLoader from gpt_researcher.document.document'}"
Node,Import:gpt_researcher.master.actions.stream_output,"{'type': 'Import', 'name': 'gpt_researcher.master.actions.stream_output', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Imported stream_output from gpt_researcher.master.actions'}"
Node,Class:ResearchRequest,"{'type': 'Class', 'name': 'ResearchRequest', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Class ResearchRequest in backend\\server'}"
Node,Class:ConfigRequest,"{'type': 'Class', 'name': 'ConfigRequest', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Class ConfigRequest in backend\\server'}"
Node,Variable:app,"{'type': 'Variable', 'name': 'app', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable app in backend\\server'}"
Node,Variable:templates,"{'type': 'Variable', 'name': 'templates', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable templates in backend\\server'}"
Node,Variable:manager,"{'type': 'Variable', 'name': 'manager', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable manager in backend\\server'}"
Node,Function:startup_event,"{'type': 'Function', 'name': 'startup_event', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Function startup_event in backend\\server'}"
Node,Function:sanitize_filename,"{'type': 'Function', 'name': 'sanitize_filename', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Function sanitize_filename in backend\\server'}"
Node,Variable:DOC_PATH,"{'type': 'Variable', 'name': 'DOC_PATH', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable DOC_PATH in backend\\server'}"
Node,Variable:websocket,"{'type': 'Variable', 'name': 'websocket', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable websocket in backend\\server'}"
Node,Variable:config,"{'type': 'Variable', 'name': 'config', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable config in backend\\server'}"
Node,Variable:file_path,"{'type': 'Variable', 'name': 'file_path', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable file_path in backend\\server'}"
Node,Variable:document_loader,"{'type': 'Variable', 'name': 'document_loader', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable document_loader in backend\\server'}"
Node,Variable:files,"{'type': 'Variable', 'name': 'files', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable files in backend\\server'}"
Node,Variable:file_path,"{'type': 'Variable', 'name': 'file_path', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable file_path in backend\\server'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable report in backend\\server'}"
Node,Variable:data,"{'type': 'Variable', 'name': 'data', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable data in backend\\server'}"
Node,Variable:json_data,"{'type': 'Variable', 'name': 'json_data', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable json_data in backend\\server'}"
Node,Variable:task,"{'type': 'Variable', 'name': 'task', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable task in backend\\server'}"
Node,Variable:report_type,"{'type': 'Variable', 'name': 'report_type', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable report_type in backend\\server'}"
Node,Variable:tone,"{'type': 'Variable', 'name': 'tone', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable tone in backend\\server'}"
Node,Variable:headers,"{'type': 'Variable', 'name': 'headers', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable headers in backend\\server'}"
Node,Variable:filename,"{'type': 'Variable', 'name': 'filename', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable filename in backend\\server'}"
Node,Variable:sanitized_filename,"{'type': 'Variable', 'name': 'sanitized_filename', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable sanitized_filename in backend\\server'}"
Node,Variable:report_source,"{'type': 'Variable', 'name': 'report_source', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable report_source in backend\\server'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable report in backend\\server'}"
Node,Variable:pdf_path,"{'type': 'Variable', 'name': 'pdf_path', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable pdf_path in backend\\server'}"
Node,Variable:docx_path,"{'type': 'Variable', 'name': 'docx_path', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable docx_path in backend\\server'}"
Node,Variable:md_path,"{'type': 'Variable', 'name': 'md_path', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable md_path in backend\\server'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\server.py', 'description': 'Variable report in backend\\server'}"
Node,Module:backend\utils,"{'type': 'Module', 'name': 'backend\\utils', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Module backend\\utils'}"
Node,Import:aiofiles,"{'type': 'Import', 'name': 'aiofiles', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported module aiofiles'}"
Node,Import:urllib,"{'type': 'Import', 'name': 'urllib', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported module urllib'}"
Node,Import:mistune,"{'type': 'Import', 'name': 'mistune', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported module mistune'}"
Node,Variable:text_utf8,"{'type': 'Variable', 'name': 'text_utf8', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable text_utf8 in backend\\utils'}"
Node,Variable:file_path,"{'type': 'Variable', 'name': 'file_path', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable file_path in backend\\utils'}"
Node,Variable:file_path,"{'type': 'Variable', 'name': 'file_path', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable file_path in backend\\utils'}"
Node,Variable:encoded_file_path,"{'type': 'Variable', 'name': 'encoded_file_path', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable encoded_file_path in backend\\utils'}"
Node,Variable:file_path,"{'type': 'Variable', 'name': 'file_path', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable file_path in backend\\utils'}"
Node,Variable:text,"{'type': 'Variable', 'name': 'text', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable text in backend\\utils'}"
Node,Import:md2pdf.core.md2pdf,"{'type': 'Import', 'name': 'md2pdf.core.md2pdf', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported md2pdf from md2pdf.core'}"
Node,Import:docx.Document,"{'type': 'Import', 'name': 'docx.Document', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported Document from docx'}"
Node,Import:htmldocx.HtmlToDocx,"{'type': 'Import', 'name': 'htmldocx.HtmlToDocx', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Imported HtmlToDocx from htmldocx'}"
Node,Variable:html,"{'type': 'Variable', 'name': 'html', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable html in backend\\utils'}"
Node,Variable:doc,"{'type': 'Variable', 'name': 'doc', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable doc in backend\\utils'}"
Node,Variable:encoded_file_path,"{'type': 'Variable', 'name': 'encoded_file_path', 'filename': './gpt-researcher\\backend\\utils.py', 'description': 'Variable encoded_file_path in backend\\utils'}"
Node,Module:backend\websocket_manager,"{'type': 'Module', 'name': 'backend\\websocket_manager', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Module backend\\websocket_manager'}"
Node,Import:asyncio,"{'type': 'Import', 'name': 'asyncio', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported module asyncio'}"
Node,Import:datetime,"{'type': 'Import', 'name': 'datetime', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported module datetime'}"
Node,Import:typing.Dict,"{'type': 'Import', 'name': 'typing.Dict', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported Dict from typing'}"
Node,Import:fastapi.WebSocket,"{'type': 'Import', 'name': 'fastapi.WebSocket', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported WebSocket from fastapi'}"
Node,Import:backend.report_type.BasicReport,"{'type': 'Import', 'name': 'backend.report_type.BasicReport', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported BasicReport from backend.report_type'}"
Node,Import:gpt_researcher.utils.enum.ReportType,"{'type': 'Import', 'name': 'gpt_researcher.utils.enum.ReportType', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported ReportType from gpt_researcher.utils.enum'}"
Node,Import:multi_agents.main.run_research_task,"{'type': 'Import', 'name': 'multi_agents.main.run_research_task', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported run_research_task from multi_agents.main'}"
Node,Import:gpt_researcher.master.actions.stream_output,"{'type': 'Import', 'name': 'gpt_researcher.master.actions.stream_output', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Imported stream_output from gpt_researcher.master.actions'}"
Node,Class:WebSocketManager,"{'type': 'Class', 'name': 'WebSocketManager', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Class WebSocketManager in backend\\websocket_manager'}"
Node,Function:__init__,"{'type': 'Function', 'name': '__init__', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Function __init__ in backend\\websocket_manager'}"
Node,Variable:start_time,"{'type': 'Variable', 'name': 'start_time', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable start_time in backend\\websocket_manager'}"
Node,Variable:config_path,"{'type': 'Variable', 'name': 'config_path', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable config_path in backend\\websocket_manager'}"
Node,Variable:end_time,"{'type': 'Variable', 'name': 'end_time', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable end_time in backend\\websocket_manager'}"
Node,Variable:queue,"{'type': 'Variable', 'name': 'queue', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable queue in backend\\websocket_manager'}"
Node,Variable:tone,"{'type': 'Variable', 'name': 'tone', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable tone in backend\\websocket_manager'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable report in backend\\websocket_manager'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable report in backend\\websocket_manager'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable report in backend\\websocket_manager'}"
Node,Variable:message,"{'type': 'Variable', 'name': 'message', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable message in backend\\websocket_manager'}"
Node,Variable:researcher,"{'type': 'Variable', 'name': 'researcher', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable researcher in backend\\websocket_manager'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable report in backend\\websocket_manager'}"
Node,Variable:researcher,"{'type': 'Variable', 'name': 'researcher', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable researcher in backend\\websocket_manager'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\websocket_manager.py', 'description': 'Variable report in backend\\websocket_manager'}"
Node,Module:backend\__init__,"{'type': 'Module', 'name': 'backend\\__init__', 'filename': './gpt-researcher\\backend\\__init__.py', 'description': 'Module backend\\__init__'}"
Node,Import:multi_agents.agents,"{'type': 'Import', 'name': 'multi_agents.agents', 'filename': './gpt-researcher\\backend\\__init__.py', 'description': 'Imported agents from multi_agents'}"
Node,Module:backend\memory\draft,"{'type': 'Module', 'name': 'backend\\memory\\draft', 'filename': './gpt-researcher\\backend\\memory\\draft.py', 'description': 'Module backend\\memory\\draft'}"
Node,Import:typing.TypedDict,"{'type': 'Import', 'name': 'typing.TypedDict', 'filename': './gpt-researcher\\backend\\memory\\draft.py', 'description': 'Imported TypedDict from typing'}"
Node,Import:operator,"{'type': 'Import', 'name': 'operator', 'filename': './gpt-researcher\\backend\\memory\\draft.py', 'description': 'Imported module operator'}"
Node,Class:DraftState,"{'type': 'Class', 'name': 'DraftState', 'filename': './gpt-researcher\\backend\\memory\\draft.py', 'description': 'Class DraftState in backend\\memory\\draft'}"
Node,Module:backend\memory\research,"{'type': 'Module', 'name': 'backend\\memory\\research', 'filename': './gpt-researcher\\backend\\memory\\research.py', 'description': 'Module backend\\memory\\research'}"
Node,Import:typing.TypedDict,"{'type': 'Import', 'name': 'typing.TypedDict', 'filename': './gpt-researcher\\backend\\memory\\research.py', 'description': 'Imported TypedDict from typing'}"
Node,Import:operator,"{'type': 'Import', 'name': 'operator', 'filename': './gpt-researcher\\backend\\memory\\research.py', 'description': 'Imported module operator'}"
Node,Class:ResearchState,"{'type': 'Class', 'name': 'ResearchState', 'filename': './gpt-researcher\\backend\\memory\\research.py', 'description': 'Class ResearchState in backend\\memory\\research'}"
Node,Module:backend\memory\__init__,"{'type': 'Module', 'name': 'backend\\memory\\__init__', 'filename': './gpt-researcher\\backend\\memory\\__init__.py', 'description': 'Module backend\\memory\\__init__'}"
Node,Module:backend\report_type\__init__,"{'type': 'Module', 'name': 'backend\\report_type\\__init__', 'filename': './gpt-researcher\\backend\\report_type\\__init__.py', 'description': 'Module backend\\report_type\\__init__'}"
Node,Import:basic_report.basic_report.BasicReport,"{'type': 'Import', 'name': 'basic_report.basic_report.BasicReport', 'filename': './gpt-researcher\\backend\\report_type\\__init__.py', 'description': 'Imported BasicReport from basic_report.basic_report'}"
Node,Import:detailed_report.detailed_report.DetailedReport,"{'type': 'Import', 'name': 'detailed_report.detailed_report.DetailedReport', 'filename': './gpt-researcher\\backend\\report_type\\__init__.py', 'description': 'Imported DetailedReport from detailed_report.detailed_report'}"
Node,Variable:__all__,"{'type': 'Variable', 'name': '__all__', 'filename': './gpt-researcher\\backend\\report_type\\__init__.py', 'description': 'Variable __all__ in backend\\report_type\\__init__'}"
Node,Module:backend\report_type\basic_report\basic_report,"{'type': 'Module', 'name': 'backend\\report_type\\basic_report\\basic_report', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Module backend\\report_type\\basic_report\\basic_report'}"
Node,Import:fastapi.WebSocket,"{'type': 'Import', 'name': 'fastapi.WebSocket', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Imported WebSocket from fastapi'}"
Node,Import:gpt_researcher.master.agent.GPTResearcher,"{'type': 'Import', 'name': 'gpt_researcher.master.agent.GPTResearcher', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Imported GPTResearcher from gpt_researcher.master.agent'}"
Node,Import:gpt_researcher.utils.enum.Tone,"{'type': 'Import', 'name': 'gpt_researcher.utils.enum.Tone', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Imported Tone from gpt_researcher.utils.enum'}"
Node,Class:BasicReport,"{'type': 'Class', 'name': 'BasicReport', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Class BasicReport in backend\\report_type\\basic_report\\basic_report'}"
Node,Function:__init__,"{'type': 'Function', 'name': '__init__', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Function __init__ in backend\\report_type\\basic_report\\basic_report'}"
Node,Variable:researcher,"{'type': 'Variable', 'name': 'researcher', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Variable researcher in backend\\report_type\\basic_report\\basic_report'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\basic_report.py', 'description': 'Variable report in backend\\report_type\\basic_report\\basic_report'}"
Node,Module:backend\report_type\basic_report\__init__,"{'type': 'Module', 'name': 'backend\\report_type\\basic_report\\__init__', 'filename': './gpt-researcher\\backend\\report_type\\basic_report\\__init__.py', 'description': 'Module backend\\report_type\\basic_report\\__init__'}"
Node,Module:backend\report_type\detailed_report\detailed_report,"{'type': 'Module', 'name': 'backend\\report_type\\detailed_report\\detailed_report', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Module backend\\report_type\\detailed_report\\detailed_report'}"
Node,Import:asyncio,"{'type': 'Import', 'name': 'asyncio', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Imported module asyncio'}"
Node,Import:fastapi.WebSocket,"{'type': 'Import', 'name': 'fastapi.WebSocket', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Imported WebSocket from fastapi'}"
Node,Import:gpt_researcher.master.actions.add_source_urls,"{'type': 'Import', 'name': 'gpt_researcher.master.actions.add_source_urls', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Imported add_source_urls from gpt_researcher.master.actions'}"
Node,Import:gpt_researcher.master.agent.GPTResearcher,"{'type': 'Import', 'name': 'gpt_researcher.master.agent.GPTResearcher', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Imported GPTResearcher from gpt_researcher.master.agent'}"
Node,Import:gpt_researcher.utils.enum.Tone,"{'type': 'Import', 'name': 'gpt_researcher.utils.enum.Tone', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Imported Tone from gpt_researcher.utils.enum'}"
Node,Class:DetailedReport,"{'type': 'Class', 'name': 'DetailedReport', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Class DetailedReport in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Function:__init__,"{'type': 'Function', 'name': '__init__', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Function __init__ in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopics,"{'type': 'Variable', 'name': 'subtopics', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopics in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:report_introduction,"{'type': 'Variable', 'name': 'report_introduction', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable report_introduction in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:report,"{'type': 'Variable', 'name': 'report', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable report in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopics,"{'type': 'Variable', 'name': 'subtopics', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopics in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopic_reports,"{'type': 'Variable', 'name': 'subtopic_reports', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopic_reports in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopics_report_body,"{'type': 'Variable', 'name': 'subtopics_report_body', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopics_report_body in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:current_subtopic_task,"{'type': 'Variable', 'name': 'current_subtopic_task', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable current_subtopic_task in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopic_assistant,"{'type': 'Variable', 'name': 'subtopic_assistant', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopic_assistant in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopic_report,"{'type': 'Variable', 'name': 'subtopic_report', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopic_report in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:toc,"{'type': 'Variable', 'name': 'toc', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable toc in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:report_with_references,"{'type': 'Variable', 'name': 'report_with_references', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable report_with_references in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:subtopic_report,"{'type': 'Variable', 'name': 'subtopic_report', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable subtopic_report in backend\\report_type\\detailed_report\\detailed_report'}"
Node,Variable:result,"{'type': 'Variable', 'name': 'result', 'filename': './gpt-researcher\\backend\\report_type\\detailed_report\\detailed_report.py', 'description': 'Variable result in backend\\report_type\\detailed_report\\detailed_report'}"
