Source,Indication,Bibliometric_Target,SKG_BIScore,SKG_Literature_Score,SKG_GDF15_BIScore,SKG_GDF15_Literature_Score,SKG_Total_Score,Bibliometric_Scientific_Score,Bibliometric_Market_Score,Bibliometric_Total_Score,Population,PMIDs
Ponsegromab,Castration Resistant Prostate Cancer (CRPC),Castration Resistant Prostate Cancer (CRPC),0,0,0,0,0,49.2,66.3,115.5,1754160,None
Ponsegromab,Liver Cancer,Liver Cancer,0,0,0,0,0,62.8,52.6,115.4,43154,None
Ponsegromab,Melanoma,Melanoma,0,0,0,0,0,71,44.3,115.4,NA,None
Ponsegromab,Pulmonary Fibrosis,Pulmonary Fibrosis,0,0,0,0,0,66.1,49.1,115.2,81849,None
Ponsegromab,Dyslipidemias,Dyslipidemias,0,0,0,0,0,54.5,60.5,115,71505530,None
Ponsegromab,Systemic Sclerosis (Scleroderma),Systemic Sclerosis (Scleroderma),0,0,0,0,0,60.2,54.8,115,81849,None
Ponsegromab,Atherosclerotic Cardiovascular Diseases (ASCVD),Atherosclerotic Cardiovascular Diseases (ASCVD),0,0,0,0,0,80.1,34.6,114.7,NA,None
Ponsegromab,End Stage Renal Disease (ESRD),End Stage Renal Disease (ESRD),0,0,0,0,0,62.9,51.8,114.7,560849,None
Ponsegromab,Peripheral Arterial Disease (PAD),Peripheral Arterial Disease (PAD),0,0,0,0,0,55.1,59.4,114.4,12439261,None
Ponsegromab,Kidney Failure,Kidney Failure,0.023465403,0.117327017,0.144467753,0.637313528,0.781781281,64.3,50.1,114.3,724456,None
Ponsegromab,Dilated Cardiomyopathy,Dilated Cardiomyopathy,0,0,0,0,0,57,57.2,114.2,81849,None
Ponsegromab,Gynecological Cancers,Gynecological Cancers,0,0,0,0,0,66.2,48,114.2,101693,None
Ponsegromab,Glucose Intolerance,Glucose Intolerance,0,0,0,0,0,59.7,54.2,113.9,2286884,None
Ponsegromab,Acid-Base Imbalance,Acid-Base Imbalance,0,0,0,0,0,56,57.8,113.8,5012635,None
Ponsegromab,Lipid Metabolism Disorders,Lipid Metabolism Disorders,0,0,0,0,0,58.2,55.5,113.8,45675932,None
Ponsegromab,Major Bleeding,Major Bleeding,0,0,0,0,0,67.5,46.3,113.8,141993,None
Ponsegromab,Embolism,Embolism,0,0,0,0,0,55.1,58.6,113.7,2726821,None
Ponsegromab,Prediabetes,Prediabetes,0,0,0,0,0,59.1,54.6,113.7,2286884,None
Ponsegromab,Metastatic Melanoma,Metastatic Melanoma,0,0,0,0,0,51,62.7,113.6,195041,None
Ponsegromab,Cognitive Impairment (Cognitive Dysfunction),Cognitive Impairment (Cognitive Dysfunction),0,0,0,0,0,59.1,54.2,113.3,1482060,None
Ponsegromab,Mitochondrial Encephalomyopathies,Mitochondrial Encephalomyopathies,0,0,0,0,0,51.5,61.9,113.3,269129,None
Ponsegromab,Fibrosis,Fibrosis,0,0,0,0,0,80.6,32.3,112.8,NA,None
Ponsegromab,Urination Disorders,Urination Disorders,0,0,0,0,0,66,46.6,112.7,11439598,None
Ponsegromab,Thalassemias,Thalassemias,0,0,0,0,0,67.1,45.4,112.5,7794,None
Ponsegromab,Venous Thromboembolisms (VTE),Venous Thromboembolisms (VTE),0,0,0,0,0,59.8,52.7,112.5,121167,None
Ponsegromab,Iron Deficiencies,Iron Deficiencies,0,0,0,0,0,56.9,55.3,112.2,14374961,None
Ponsegromab,Oral Cancer (Mouth Cancer),Oral Cancer (Mouth Cancer),0,0,0,0,0,55.8,56.2,112,170236,None
Ponsegromab,Acidosis,Acidosis,0,0,0,0,0,56.3,55.5,111.8,2888507,None
Ponsegromab,Arterial Occlusive Diseases,Arterial Occlusive Diseases,0,0,0,0,0,79.6,32.2,111.8,NA,None
Ponsegromab,Wasting Syndrome,Wasting Syndrome,0,0,0,0,0,54,57.8,111.8,NA,None
Ponsegromab,Peripheral Vascular Diseases,Peripheral Vascular Diseases,0,0,0,0,0,55.3,55.8,111.2,12439261,None
Ponsegromab,HFrEF,"Heart Failure with reduced Ejection Fraction (HFrEF, Systolic HF)",0.18,0,0.130460164,0.637324222,0.767784386,71,40,111,NA,None
Ponsegromab,Immune System Diseases,Immune System Diseases,0,0,0,0,0,70.9,40.1,111,NA,None
Ponsegromab,Interstitial Lung Diseases (ILD),Interstitial Lung Diseases (ILD),0,0,0,0,0,66.7,44.4,111,81849,None
Ponsegromab,Cardiac Fibrosis,Cardiac Fibrosis,0,0,0,0,0,73.8,36.9,110.7,NA,None
Ponsegromab,Pancreatic Ductal Adenocarcinoma,Pancreatic Ductal Adenocarcinoma,0,0,0,0,0,55.9,54.7,110.6,NA,None
Ponsegromab,Metastatic Breast Cancer,Metastatic Breast Cancer,0,0,0,0,0,42.9,67.1,110,4313770,None
Ponsegromab,Urinary Bladder Diseases,Urinary Bladder Diseases,0,0,0,0,0,64.7,45,109.8,1923031,None
Ponsegromab,Ovarian Cancer,Ovarian Cancer,0,0,0,0,0,68,41.6,109.7,101693,None
Ponsegromab,Neurodegenerative Diseases,Neurodegenerative Diseases,0,0,0,0,0,63,46.6,109.6,4893995,None
Ponsegromab,Anemia,Iron Deficiency Anemia,0.065238977,0.326194886,0.136913871,0.673064612,0.809978483,55.3,54.1,109.4,339369,None
Ponsegromab,Hypochromic Anemia,Hypochromic Anemia,0,0,0,0,0,55.3,54,109.3,339369,None
Ponsegromab,Head and Neck Squamous Cell Carcinoma (HNSCC),Head and Neck Squamous Cell Carcinoma (HNSCC),0,0,0,0,0,59.7,49.5,109.2,16370,None
Ponsegromab,Inborn Errors of Metabolism,Inborn Errors of Metabolism,0,0,0,0,0,63.7,45.5,109.2,45890,None
Ponsegromab,Iron Metabolism Disorders,Iron Metabolism Disorders,0,0,0,0,0,61.6,47.1,108.8,296860,None
Ponsegromab,Alcohol-Related Disorders,Alcohol-Related Disorders,0,0,0,0,0,57,51.7,108.7,440518,None
Ponsegromab,HIV,HIV,0,0,0,0,0,56.6,52,108.7,1740035,None
Ponsegromab,Upper Tract Urothelial Cancer (UTUC),Upper Tract Urothelial Cancer (UTUC),0,0,0,0,0,63.9,44.7,108.6,16370,None
Ponsegromab,Epithelial Ovarian Cancer,Epithelial Ovarian Cancer,0,0,0,0,0,48.3,59.9,108.2,101693,None
Ponsegromab,Urothelial Carcinoma (Transitional Cell Carcinoma),Urothelial Carcinoma (Transitional Cell Carcinoma),0,0,0,0,0,64.2,43.8,108.1,NA,None
Ponsegromab,Metabolic Syndrome,Metabolic Syndrome,0,0,0,0,0,59.2,48.5,107.7,45890,None
Ponsegromab,Pregnancy Complications,Pregnancy Complications,0,0,0,0,0,63.4,44.2,107.7,1253075,None
Ponsegromab,Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia (AML),0,0,0,0,0,53.1,54.3,107.4,21332,None
Ponsegromab,Amyloidosis,Amyloidosis,0,0,0,0,0,50,57.2,107.2,16370,None
Ponsegromab,Left Ventricular Dysfunction,Left Ventricular Dysfunction,0,0,0,0,0,67.1,39.8,106.9,217128,None
Ponsegromab,Metabolic Dysfunction-Associated Steatohepatitis (MASH / NASH),Metabolic Dysfunction-Associated Steatohepatitis (MASH / NASH),0,0,0,0,0,58.8,48.1,106.9,NA,None
Ponsegromab,Ureteral Neoplasms,Ureteral Neoplasms,0,0,0,0,0,57.2,49.5,106.7,2121796,None
Ponsegromab,Lactic Acidosis,Lactic Acidosis,0,0,0,0,0,46.1,60.5,106.6,2888507,None
Ponsegromab,ST Elevation Myocardial Infarction,ST Elevation Myocardial Infarction,0,0,0,0,0,57.3,49.3,106.6,4844922,None
Ponsegromab,HER2 Positive (HER2+) Breast Cancer,HER2 Positive (HER2+) Breast Cancer,0,0,0,0,0,38.5,68,106.5,2277915,None
Ponsegromab,Esophageal Squamous Cell Carcinoma (ESCC),Esophageal Squamous Cell Carcinoma (ESCC),0,0,0,0,0,50,56.4,106.4,NA,None
Ponsegromab,Substance Use Disorders,Substance Use Disorders,0,0,0,0,0,55.3,51,106.4,10680870,None
Ponsegromab,Cardiovascular Abnormalities,Cardiovascular Abnormalities,0,0,0,0,0,57.5,48.6,106.2,2589546,None
Ponsegromab,Mental Disorders (Psychiatry),Mental Disorders (Psychiatry),0,0,0,0,0,63,43.1,106.1,1503512,None
Ponsegromab,Stomach Diseases,Stomach Diseases,0,0,0,0,0,58.3,47.8,106,2124128,None
Ponsegromab,Vascular Calcification,Vascular Calcification,0,0,0,0,0,51.2,54.8,106,577300,None
Ponsegromab,Inflammatory Diseases,Inflammatory Diseases,0,0,0,0,0,75.1,30.8,105.9,NA,None
Ponsegromab,Idiopathic Pulmonary Fibrosis (IPF),Idiopathic Pulmonary Fibrosis (IPF),0,0,0,0,0,56.5,49.2,105.7,81849,None
Ponsegromab,Metabolic Brain Diseases,Metabolic Brain Diseases,0,0,0,0,0,53.3,52.4,105.7,269129,None
Ponsegromab,Proteostasis Deficiencies,Proteostasis Deficiencies,0,0,0,0,0,52.5,53.2,105.7,NA,None
Ponsegromab,Heart Disease Risk Factors,Heart Disease Risk Factors,0,0,0,0,0,63.8,41.6,105.4,NA,None
Ponsegromab,Leukemias,Leukemias,0,0,0,0,0,51.2,54.2,105.4,218607,None
Ponsegromab,Respiration Disorders,Respiration Disorders,0,0,0,0,0,58.4,46.8,105.2,2449032,None
Ponsegromab,Idiopathic Interstitial Pneumonias (IIPs),Idiopathic Interstitial Pneumonias (IIPs),0,0,0,0,0,56.1,48.9,105.1,NA,None
Ponsegromab,Stomatognathic Diseases,Stomatognathic Diseases,0,0,0,0,0,67.9,37.2,105.1,3605239,None
Ponsegromab,Glioblastoma,Glioblastoma,0,0,0,0,0,56.6,48.4,104.9,16370,None
Ponsegromab,Adult Infectious Disease,Adult Infectious Disease,0,0,0,0,0,62,42.9,104.8,NA,None
Ponsegromab,Hormone-Sensitive Prostate Cancer (HSPC),Hormone-Sensitive Prostate Cancer (HSPC),0,0,0,0,0,42.1,62.8,104.8,1754160,None
Ponsegromab,Respiratory Distress Syndrome,Respiratory Distress Syndrome,0,0,0,0,0,54.5,50.3,104.8,NA,None
Ponsegromab,Iron Overload,Iron Overload,0,0,0,0,0,58,46.7,104.7,296860,None
Ponsegromab,Adenocarcinoma,Adenocarcinoma,0,0,0,0,0,72,32.5,104.5,NA,None
Ponsegromab,Atherosclerotic Plaque (Atherosclerosis),Atherosclerotic Plaque (Atherosclerosis),0,0,0,0,0,70,34.3,104.3,NA,None
Ponsegromab,IgA Nephropathy,IgA Nephropathy,0,0,0,0,0,46.7,57.1,103.8,1041348,None
Ponsegromab,Brain Ischemia,Brain Ischemia,0,0,0,0,0,51.7,52,103.7,269129,None
Ponsegromab,Gastric Cancer,Gastric Cancer,0,0,0,0,0,56.8,46.9,103.7,84947,None
Ponsegromab,Exocrine Pancreatic Cancer,Exocrine Pancreatic Cancer,0,0,0,0,0,56.2,47.4,103.6,NA,None
Ponsegromab,Hemolytic Anemia,Hemolytic Anemia,0,0,0,0,0,66.3,37.3,103.6,NA,None
Ponsegromab,Autoimmune Disorders,Autoimmune Disorders,0,0,0,0,0,72.3,31,103.3,NA,None
Ponsegromab,Infections (Infectious Diseases),Infections (Infectious Diseases),0,0,0,0,0,70.5,32.7,103.2,NA,None
Ponsegromab,Astrocytoma,Astrocytoma,0,0,0,0,0,56.8,46,102.8,16370,None
Ponsegromab,Thyroid Neoplasms,Thyroid Neoplasms,0,0,0,0,0,52.7,49.9,102.6,220320,None
Ponsegromab,Polyneuropathies,Polyneuropathies,0,0,0,0,0,45.7,56.8,102.5,3145758,None
Ponsegromab,Depressive Disorders / Depression,Depressive Disorders / Depression,0,0,0,0,0,49,53.4,102.4,15263323,None
Ponsegromab,Hemorrhagic Stroke,Hemorrhagic Stroke,0,0,0,0,0,40,62.4,102.4,7078728,None
Ponsegromab,Viral Hepatitis-Associated Hepatocellular Carcinoma,Viral Hepatitis-Associated Hepatocellular Carcinoma,0,0,0,0,0,60.9,41.5,102.4,NA,None
Ponsegromab,Congenital Abnormalities,Congenital Abnormalities,0,0,0,0,0,63.8,38.5,102.3,1482540,None
Ponsegromab,Mucositis,Mucositis,0,0,0,0,0,34.7,67.5,102.2,39214678,None
Ponsegromab,Cardiac Sudden Death,Cardiac Sudden Death,0,0,0,0,0,43.4,58.8,102.1,2921511,None
Ponsegromab,Acute Ischemic Stroke,Acute Ischemic Stroke,0,0,0,0,0,39.3,62.4,101.7,573257,None
Ponsegromab,Triple Negative Breast Cancer (TNBC),Triple Negative Breast Cancer (TNBC),0,0,0,0,0,35.1,66.6,101.7,2277915,None
Ponsegromab,Diabetic Cardiomyopathy,Diabetic Cardiomyopathy,0,0,0,0,0,42.9,58.6,101.5,25829598,None
Ponsegromab,Metastatic Colorectal Cancer (mCRC),Metastatic Colorectal Cancer (mCRC),0,0,0,0,0,45.9,55.6,101.5,NA,None
Ponsegromab,AIDS / HIV,AIDS / HIV,0,0,0,0,0,56.4,45,101.4,1740035,None
Ponsegromab,Sexually Transmitted Infections (STI),Sexually Transmitted Infections (STI),0,0,0,0,0,58.6,42.8,101.4,65151701,None
Ponsegromab,Myeloid Leukemia,Myeloid Leukemia,0,0,0,0,0,52.7,48.5,101.2,21332,None
Ponsegromab,Bone Metastases,Bone Metastases,0,0,0,0,0,49.9,50.6,100.4,NA,None
Ponsegromab,Cognition Disorders,Cognition Disorders,0,0,0,0,0,58.4,42,100.4,NA,None
Ponsegromab,Respiratory Tract Infections,Respiratory Tract Infections,0,0,0,0,0,53.7,46.7,100.4,299033,None
Ponsegromab,Congenital Heart Diseases,Congenital Heart Diseases,0,0,0,0,0,58.3,42.1,100.3,391835,None
Ponsegromab,Inborn Metabolic Brain Diseases,Inborn Metabolic Brain Diseases,0,0,0,0,0,53.8,46.4,100.2,342750,None
Ponsegromab,Thoracic Injuries,Thoracic Injuries,0,0,0,0,0,59.9,40.2,100.2,NA,None
Ponsegromab,Beta Thalassemia,Beta Thalassemia,0,0,0.129444517,0.647222587,0.776667104,50.5,49.2,99.8,16370,None
Ponsegromab,Acute Migraine,Acute Migraine,0,0,0,0,0,37.2,62.4,99.6,6166052,None
Ponsegromab,Dementia,Dementia,0,0,0,0,0,55.2,44.4,99.6,4893995,None
Ponsegromab,Acute Lung Injury,Acute Lung Injury,0,0,0,0,0,42.2,57.3,99.5,81849,None
Ponsegromab,Gliomas,Gliomas,0,0,0,0,0,54.9,44.5,99.5,NA,None
Ponsegromab,Embolic Stroke,Embolic Stroke,0,0,0,0,0,47,52.4,99.4,573257,None
Ponsegromab,Essential Hypertension,Essential Hypertension,0,0,0,0,0,41.4,58,99.4,61127270,None
Ponsegromab,Metastatic Lung Cancer,Metastatic Lung Cancer,0,0,0,0,0,44.3,55.1,99.4,NA,None
Ponsegromab,Water-Electrolyte Imbalance,Water-Electrolyte Imbalance,0,0,0,0,0,45.7,53.4,99.2,4206218,None
Ponsegromab,Localized Prostate Cancer,Localized Prostate Cancer,0,0,0,0,0,36.4,62.6,99,1754160,None
Ponsegromab,Connective Tissue Diseases,Connective Tissue Diseases,0,0,0,0,0,68.1,30.8,98.9,NA,None
Ponsegromab,Left Ventricular Hypertrophy,Left Ventricular Hypertrophy,0,0,0,0,0,53.1,45.7,98.9,2556982,None
Ponsegromab,Chronic Progressive Multiple Sclerosis,Chronic Progressive Multiple Sclerosis,0,0,0,0,0,36,62.7,98.8,791129,None
Ponsegromab,Diabetic Neuropathy,Diabetic Neuropathy,0,0,0,0,0,28.6,70.2,98.8,38789457,None
Ponsegromab,Advanced / Metastatic Breast Cancer,Advanced / Metastatic Breast Cancer,0,0,0,0,0,42.2,56.2,98.3,2277915,None
Ponsegromab,Critical Illness,Critical Illness,0,0,0,0,0,59.5,38.8,98.3,NA,None
Ponsegromab,Glomerulonephritis,Glomerulonephritis,0,0,0,0,0,55.6,42.7,98.3,783501,None
Ponsegromab,Cystadenocarcinoma,Cystadenocarcinoma,0,0,0,0,0,39.3,58.7,98,195041,None
Ponsegromab,Tauopathies,Tauopathies,0,0,0,0,0,53,45,98,4893995,None
Ponsegromab,Calcinosis,Calcinosis,0,0,0,0,0,47.9,50,97.9,296860,None
Ponsegromab,Plasma Cell Disorders,Plasma Cell Disorders,0,0,0,0,0,50.1,47.8,97.8,NA,None
Ponsegromab,Endometrial Cancer,Endometrial Cancer,0,0,0,0,0,45.7,51.8,97.5,NA,None
Ponsegromab,Leukoencephalopathies,Leukoencephalopathies,0,0,0,0,0,39.1,58.4,97.5,2040622,None
Ponsegromab,Mitochondrial DNA Depletion Syndromes (MDDS),Mitochondrial DNA Depletion Syndromes (MDDS),0,0,0,0,0,59.3,38.2,97.5,NA,None
Ponsegromab,Paraproteinemias,Paraproteinemias,0,0,0,0,0,49.7,47.5,97.1,NA,None
Ponsegromab,Occupational Asthma,Occupational Asthma,0,0,0,0,0,40.5,56.5,97,18578193,None
Ponsegromab,Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS),0,0,0,0,0,43.6,53.4,97,4819447,None
Ponsegromab,Primary Progressive Multiple Sclerosis (PPMS),Primary Progressive Multiple Sclerosis (PPMS),0,0,0,0,0,37.6,59.2,96.8,791129,None
Ponsegromab,Parkinson's Disease,Parkinson's Disease,0,0,0,0,0,49.2,47.5,96.7,617093,None
Ponsegromab,Osteoarthritis,Osteoarthritis,0,0,0,0,0,40.5,56.1,96.5,51773846,None
Ponsegromab,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,0,0,0,0,0,41.7,54.7,96.4,1637,None
Ponsegromab,Hepatitis C / HCV,Hepatitis C / HCV,0,0,0,0,0,45.1,51.3,96.4,19931,None
Ponsegromab,Radiation Injuries,Radiation Injuries,0,0,0,0,0,58.2,38.1,96.4,NA,None
